Quote on 6/25/26 18:55:58

Futures
Symbol,Sector,Momo,EM,Mark,%Change,%C-WOPEN,BAS,IV+,Impl Vol,-V%,VD%,Volume,Open.Int,OI-,OI/V,PI+,POI,IFP,SMRTx,Con score,WITS,STRSI,LWC,RS5,RS10,RS21,15m,2hr,D,W
/MGC[Q26],,T2BD,NaN,4038.80,-0.22%,-4.46%,0.3,0.0,<empty>,N/A%,NaN,"10,441","55,562",-,2.65,N/A,-0.44,↑(TRIG),NaN,STABLE,SIDELINE,-,-1.0,32.6,18.2,12.5,2→1,P1,P1,P1
/MES[U26],, ,124.1,7425.000,+0.02%,-1.99%,0.25,61.0,18.75%,21.2%,0.99,"19,646","185,617",-,8.15,N/A,-0.04,↓(TRIG),13.0,STABLE,SIDELINE,EARLY -8,-1.0,49.9,84.2,60.4,P1,P1,P1,P4
/MNQ[U26],, ,793.01,29680.250,-0.15%,-3.44%,0.5,65.0,29.87%,16.91%,0.89,"56,748","115,327",-,24.46,N/A,-0.06,↓(TRIG),5.0,STABLE,SIDELINE,EARLY -8,-3.0,2.5,26.9,63.6,P1,1→2,P1,P3
/MBT[N26],, ,979.0,59925.0,+0.82%,-4.95%,15.0,17.0,51.31%,8.82%,1.0,"1,467","8,795",EXITS,1.78,-0.02,0.08,↓(TRIG),2.0,STABLE,SIDELINE,EXP -7,-1.0,16.0,6.0,2.0,P4,P1,P1,P1
/MET[N26],, ,34.8,1570.00,+0.67%,-8.29%,2.0,9.0,68.33%,2.43%,1.1,"1,414","14,950",EXITS,0.69,-0.02,0.14,↓(TRIG),3.0,STABLE,SIDELINE,-,-3.0,10.8,2.8,1.4,P4,P1,P1,P1
/MCL[Q26],,T2BD,5.59,71.470,-0.63%,-5.36%,0.02,24.0,49.44%,-39.46%,1.0,"1,317","33,257",-,1.16,N/A,-0.06,↑(TRIG),79.0,STABLE,SIDELINE,-,-1.0,58.8,10.8,8.0,P1,1→2,P1,P1
/M6E[U26],,T2BD,NaN,1.14060,-0.04%,-0.80%,1.0E-4,NaN,<empty>,N/A%,NaN,237,"20,046",-,0.43,N/A,-0.08,↑(TRIG),NaN,STABLE,SIDELINE,-,-1.0,100.0,38.0,23.6,P1,P2,P1,P1
/M6B[U26],, ,NaN,1.31910,-0.05%,-0.11%,1.0E-4,NaN,<empty>,N/A%,NaN,48,"2,760",-,0.62,N/A,-0.01,↑(TRIG),NaN,STABLE,SIDELINE,LATE -6,-1.0,100.0,47.7,33.1,P1,P2,P1,P1
/6J[U26],, ,1.0E-4,.0062200,-0.01%,-0.31%,5.0E-7,70.0,9.23%,-1.28%,2.7593696,722,"425,172",-,0.12,N/A,N/A,↓(TRIG),NaN,STABLE,SIDELINE,EXP -7,-1.0,100.0,62.7,43.3,P1,P1,P1,P1
/MSL[N26],, ,NaN,66.900,+1.67%,-3.95%,0.05,NaN,<empty>,N/A%,NaN,236,371,EXITS,0.69,-0.02,0.05,↓(TRIG),NaN,STABLE,DISTRIBUTION,-,-3.0,15.6,7.6,11.3,P3,P1,P1,P1
/MXP[N26],,TYBD,NaN,1.04500,+0.82%,-9.21%,0.0015,NaN,<empty>,N/A%,NaN,272,581,-,0.51,-0.02,0.15,↓(TRIG),NaN,STABLE,SIDELINE,LATE -6,-1.0,17.9,0.0,0.0,P3,P1,P1,P1
/SIL[U26],,T2BD,NaN,58.2500,-0.92%,-11.48%,0.02,NaN,<empty>,N/A%,NaN,"1,024","5,423",EXITS,2.16,-0.01,0.19,↓(TRIG),NaN,STABLE,SIDELINE,-,-1.0,16.5,5.2,3.8,P3,P1,P1,P1
/HG[U26],, ,0.1723,6.12100,-0.27%,-3.89%,0.0015,44.0,31.62%,26.53%,0.9808,299,"138,155",NEW,0.6,0,-0.03,↑(TRIG),NaN,STABLE,P4→P5,EARLY -7,-1.0,54.6,30.0,26.8,P3,P1,P1,3→5
/VXM[N26],, ,NaN,19.110,+0.12%,3.24%,0.04,NaN,<empty>,N/A%,NaN,30,"2,607",-,0.48,N/A,0.1,↓(TRIG),NaN,STABLE,SIDELINE,EARLY 7,1.0,77.3,89.5,59.2,P3,P5,P3,P1
