Quote on 6/23/26 01:11:26

D-D2Dx
Symbol,Sector,Momo,EM,Mark,%Change,%C-WOPEN,BAS,IV+,Impl Vol,-V%,VD%,Volume,Open.Int,OI-,OI/V,PI+,POI,IFP,SMRTx,Con score,WITS,STRSI,LWC,RS5,RS10,RS21,15m,2hr,D,W
BABA,Consumer Discretionary,C2BD,4.01,101.380,-1.99%,-0.12%,0.18,27.0,42.07%,-2.21%,1.47,"13,220,753",0,-,N/A,N/A,N/A,↓(TRIG),98.0,STABLE,SIDELINE,LATE -3,-1.0,0.0,0.0,0.0,1,1,1,1
.BABA260710P100,, ,NaN,1.555,+23.48%,-10.69%,0.0,NaN,25.29%,N/A%,NaN,24,184,-,0.13,3.09,0.86,—,NaN,STABLE,SIDELINE,-,1.0,NaN,NaN,NaN,5,4, , 
.BABA260710P101,, ,NaN,1.955,+5.45%,-11.68%,0.0,NaN,24.84%,N/A%,NaN,72,6,-,12,N/A,N/A,—,NaN,STABLE,SIDELINE,-,-3.0,NaN,NaN,NaN, , , , 
.BABA260717P100,,TBO,NaN,1.935,+27.74%,-1.00%,0.0,NaN,25.37%,N/A%,NaN,"1,387","8,607",ACCUM,0.16,0.97,0.47,—,NaN,STABLE,SIDELINE,-,1.0,100.0,100.0,100.0,3,3,3,3
BTU,Energy,CYBD,1.31,24.120,-2.74%,-2.11%,0.0,28.0,62.66%,-0.78%,0.81,"2,641,370",0,-,N/A,N/A,N/A,↓(TRIG),20.0,STABLE,SIDELINE,-,-1.0,0.0,0.0,0.0,1,1,1,1
.BTU260710P24,, ,NaN,1.150,+55.41%,9.52%,0.0,NaN,58.06%,N/A%,NaN,2,61,-,0.03,0.07,0,—,NaN,STABLE,SIDELINE,-,2.0,NaN,NaN,NaN, , , , 
.BTU260717P24,,TBO,NaN,1.370,+45.65%,34.00%,0.0,NaN,58.24%,N/A%,NaN,183,402,ROTATION,0.46,-9.63,-17.6,—,NaN,STABLE,SIDELINE,-,1.0,100.0,100.0,60.9,3,3,3, 
GAP,Consumer Discretionary, ,0.83,20.620,-2.51%,-2.87%,0.0,31.0,43.05%,11.18%,0.63,"9,472,518",0,-,N/A,N/A,N/A,↓(TRIG),6.0,PRIMED,SIDELINE,-,-1.0,0.0,0.0,0.0,3,1,1,1
.GAP260710P20.5,, ,NaN,.710,+150.00%,29.63%,0.0,NaN,42.82%,N/A%,NaN,14,88,-,0.16,0.11,-0,—,NaN,STABLE,SIDELINE,-,2.0,NaN,NaN,NaN, , , , 
KR,Consumer Staples,CYBD,1.53,55.760,-1.50%,-1.40%,0.0,38.0,29.44%,-17.02%,0.74,"13,199,906",0,-,N/A,N/A,N/A,↓(TRIG),0.0,PRIMED,SIDELINE,-,-1.0,0.0,0.0,0.0,4,1,1,1
